code,trade_quote,time,time_actual,trade_price,open,high,low,ask_price_trade,bid_price_trade,ask_amount_trade,bid_amount_trade,change,volume,acc_volume,acc_buy_volume,acc_sell_volume,trade_buy_sell,trade_incoming_option,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_amount_1,ask_amount_2,ask_amount_3,ask_amount_4,ask_amount_5,ask_amount_total,ask_count_1,ask_count_2,ask_count_3,ask_count_4,ask_count_5,ask_count_total,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_amount_1,bid_amount_2,bid_amount_3,bid_amount_4,bid_amount_5,bid_amount_total,bid_count_1,bid_count_2,bid_count_3,bid_count_4,bid_count_5,bid_count_total
165R9,quote,150738,15:07:39.363253,,,,,,,,,,,,,,,,110.21,110.22,110.23,110.24,110.25,1194,1448,2661,2748,2838,23363,41,45,39,46,36,333,110.2,110.19,110.18,110.17,110.16,548,1013,2564,2725,2087,33539,11,26,28,46,38,415
165R9,quote,150740,15:07:41.423744,,,,,,,,,,,,,,,,110.21,110.22,110.23,110.24,110.25,1194,1448,2661,2748,2838,23363,41,45,39,46,36,333,110.2,110.19,110.18,110.17,110.16,548,1013,2564,2725,2087,33539,11,26,28,46,38,415
165R9,quote,150740,15:07:41.424742,,,,,,,,,,,,,,,,110.21,110.22,110.23,110.24,110.25,1194,1448,2661,2748,2838,23363,41,45,39,46,36,333,110.2,110.19,110.18,110.17,110.16,548,1013,2564,2725,2087,33539,11,26,28,46,38,415
165R9,quote,150740,15:07:41.425740,,,,,,,,,,,,,,,,110.21,110.22,110.23,110.24,110.25,1194,1448,2661,2748,2838,23363,41,45,39,46,36,333,110.2,110.19,110.18,110.17,110.16,548,1013,2564,2725,2087,33539,11,26,28,46,38,415
165R9,quote,150740,15:07:41.425740,,,,,,,,,,,,,,,,110.21,110.22,110.23,110.24,110.25,1194,1448,2661,2748,2838,23363,41,45,39,46,36,333,110.2,110.19,110.18,110.17,110.16,548,1013,2564,2725,2087,33539,11,26,28,46,38,415
165R9,quote,150740,15:07:41.613239,,,,,,,,,,,,,,,,110.21,110.22,110.23,110.24,110.25,1194,1448,2661,2748,2838,23363,41,45,39,46,36,333,110.2,110.19,110.18,110.17,110.16,548,1013,2564,2725,2087,33539,11,26,28,46,38,415
165R9,quote,150740,15:07:41.677173,,,,,,,,,,,,,,,,110.21,110.22,110.23,110.24,110.25,1194,1448,2661,2748,2838,23363,41,45,39,46,36,333,110.2,110.19,110.18,110.17,110.16,548,1013,2564,2725,2087,33539,11,26,28,46,38,415
165R9,quote,150741,15:07:42.305424,,,,,,,,,,,,,,,,110.21,110.22,110.23,110.24,110.25,1195,1448,2661,2748,2838,23364,42,45,39,46,36,334,110.2,110.19,110.18,110.17,110.16,548,1013,2564,2725,2087,33539,11,26,28,46,38,415
165R9,quote,150741,15:07:42.363233,,,,,,,,,,,,,,,,110.21,110.22,110.23,110.24,110.25,1188,1448,2661,2748,2838,23357,41,45,39,46,36,333,110.2,110.19,110.18,110.17,110.16,548,1013,2564,2725,2087,33539,11,26,28,46,38,415
165R9,quote,150741,15:07:42.364231,,,,,,,,,,,,,,,,110.21,110.22,110.23,110.24,110.25,1190,1448,2661,2748,2838,23359,42,45,39,46,36,334,110.2,110.19,110.18,110.17,110.16,548,1013,2564,2725,2087,33539,11,26,28,46,38,415
